,id,in_city,bars,cafes,fast_foods,restaurants,library,university,bus_train_tram_station,bicycle_rentals,parking,taxi,casinos,cinemas,nightclubs,social_amenities,sex_amenities,theatres_artscentre,malls,kiosks,supermarkets,nearest_sight,2nd_nearest_sight,3rd_nearest_sight,mean_dist_sight,nearest_travel_poss,mean_dist_travel
2290,18522501,1,22,20,13,16,0,2,31,11,32,2,0,0,0,2,0,1,0,1,5,1154.9695442486272,1312.0079051286548,1730.680313927248,2204.143391841662,691.9926910862725,5543.417508247503
2291,18524372,1,7,6,17,3,0,3,2,0,8,2,0,0,0,3,0,0,1,0,3,2215.293209055837,2309.8437480157613,2325.367967556762,3420.0542228574236,2798.8800924747025,7715.060033693011
2292,18531822,1,15,3,24,3,1,4,47,0,53,1,0,0,0,3,0,1,0,0,1,2048.8057809982365,2799.3732642626223,2808.513945081746,3326.9457193865483,3662.4010762119037,4992.648036879282
2293,18540909,0,3,2,0,1,1,0,16,0,10,0,0,0,0,0,0,0,0,0,0,12806.736332063136,13420.617972038617,13586.083586039176,14331.618201258376,9059.58474145415,12701.156499656348
2294,18541533,1,216,226,111,263,13,27,87,33,75,17,8,3,5,5,1,25,7,0,33,304.1963327427265,481.5894391757764,631.5503247291979,1352.1920468545575,1988.280576839674,5327.856315370953
2295,18545836,1,37,57,42,77,1,5,25,7,135,5,2,3,5,2,0,4,1,0,12,1448.9146460985532,1506.937990634246,1599.7408728129424,2408.072117630407,2946.8977018870964,6667.623192630703
2296,18547690,1,6,5,14,2,1,1,20,0,29,2,0,0,0,2,0,0,0,0,2,1008.9061982488439,2338.6638677009637,2839.531148891009,3088.717849268628,2252.4992386210533,5651.545918481595
2297,18559924,0,4,4,10,5,1,1,6,0,74,0,0,0,0,0,0,0,1,0,2,4597.207987504245,4610.63889408642,4711.103703844102,5522.120290192096,6082.490460842022,9219.734928679882
2298,18560100,1,13,8,9,5,0,0,4,0,23,0,0,0,0,2,0,0,0,0,2,1149.136722240496,2665.3783052965205,3354.9070164581353,3921.8586553303553,2358.1021595504785,7547.032575765432
2299,18561575,1,206,218,103,272,14,30,79,36,81,17,8,4,5,5,1,25,5,0,34,170.7292726616815,442.2494598959649,605.8158802865304,1279.6403485842761,1830.1496279591772,5386.937942718914
2300,18564627,1,5,1,2,5,0,0,40,0,111,0,0,0,0,0,0,0,1,0,3,3333.616828387444,3580.1795766453,3620.7876103199847,4692.546369378103,2891.2841747199413,6882.149073713606
2301,18565443,1,51,42,22,30,2,7,34,16,39,4,0,1,0,3,0,3,0,1,9,545.7523823052933,1031.538858417016,1501.2803609773116,1782.948048363784,706.7445156890808,5376.054904660887
2302,18583477,1,94,87,37,92,5,11,26,22,51,4,1,3,1,4,0,10,1,1,13,185.21255771932056,765.4656911320301,1084.966225523296,1505.4955182991105,833.2598157094731,5434.769380543145
2303,18590148,1,90,73,33,70,4,10,30,22,50,4,0,2,0,4,0,8,1,1,14,209.66590356345267,867.2806072343211,1184.1225854890683,1566.1562857063834,809.8018399365767,5393.700524416636
2304,18591323,1,34,61,15,41,3,11,51,22,71,3,0,2,0,5,0,4,2,0,8,764.8965289767809,1185.0964250458323,1342.0701589641446,2312.562378707287,3249.2921880705776,5431.312820417952
2305,18591643,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17988.727278316317,19155.436212788478,19905.476311487895,20151.807561224672,11642.330744575902,16663.581833396165
2306,18613392,1,141,192,67,177,11,20,104,33,86,15,5,1,3,4,0,16,5,0,11,476.99867490099047,561.6775923392985,585.3260101648899,1667.079495399329,2898.0359405442937,5513.987972549495
2307,18614233,1,44,83,18,50,6,12,54,27,76,3,1,1,1,4,0,6,2,0,9,733.899816018406,927.5503424511442,1134.8770147876392,2141.6048272555404,3441.4484218731654,5510.379245288816
2308,18628779,0,1,1,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,16038.845595776887,18698.100228750234,18704.825909461968,18995.66399433835,9711.619325119093,15932.817235362547
2309,18632887,1,1,2,2,4,0,0,26,0,15,0,0,0,0,1,0,0,0,0,0,4919.073659071254,5639.57087742075,5736.410946369921,6478.659265267434,1781.4566915676714,5998.486711838379
2310,18632998,0,7,19,14,11,1,6,13,0,127,1,0,0,0,2,0,0,2,0,2,6376.169341172239,6600.454126331418,6812.770332038336,7685.162456363091,5435.2802525460975,9737.805215923465
2311,18663965,1,17,16,15,7,2,3,6,7,21,5,0,0,0,6,0,0,1,0,6,825.2725260363277,982.0024716980172,1437.2183393848857,2198.64551754775,1341.3488949033065,6433.846697002774
2312,18667423,1,204,194,106,254,12,26,74,31,69,15,8,4,4,4,1,21,4,0,34,449.2234040857168,611.5620755329568,726.8645588716705,1355.9305750392837,1609.1751984009663,5341.802816883318
2313,18669552,1,26,27,13,41,3,4,47,8,62,4,0,0,0,0,0,1,0,1,5,1500.0828513305776,1807.2068188011751,1807.468558196078,2893.487023071342,3278.076722342971,6013.942396648103
2314,18678187,1,67,66,61,72,3,15,55,24,51,3,4,2,1,5,0,5,2,0,29,1023.7159134880585,1208.7944701335541,1436.981584433156,1817.3152277827849,1831.593472377642,5178.614374719024
2315,18678766,0,6,7,2,9,1,0,3,0,18,1,0,0,0,3,0,0,0,0,1,12718.684677012185,12963.815579373535,13037.489514918481,14018.741413329568,10578.194607729154,15317.554034156961
2316,18679209,1,13,24,21,39,1,1,30,0,254,3,0,3,1,3,0,2,3,0,11,2202.4428699290315,2211.932732974068,2544.4869585965344,3250.345317780636,3986.763585598175,7183.580589292713
